No.,Symbol,Company Name,Market Cap ,Stock Price,% Change,Revenue
146,APD,"Air Products and Chemicals, Inc.",74.10B,333.22,-0.47%,12.10B
147,COF,Capital One Financial Corporation,72.98B,191.29,-0.08%,26.50B
148,MMM,3M Company,72.14B,132.48,-0.35%,32.64B
149,FTNT,"Fortinet, Inc.",72.09B,94.06,-2.47%,5.71B
150,ORLY,"O'Reilly Automotive, Inc.",71.82B,"1,244.01",-0.02%,16.44B
151,NOC,Northrop Grumman Corporation,71.26B,489.08,0.13%,40.99B
152,WMB,"The Williams Companies, Inc.",70.87B,58.14,-0.39%,10.37B
153,CSX,CSX Corporation,70.54B,36.58,-0.30%,14.68B
154,TDG,TransDigm Group Incorporated,70.25B,"1,249.33",-1.05%,7.94B
155,ECL,Ecolab Inc.,70.14B,247.7,0.13%,15.67B
156,AJG,Arthur J. Gallagher & Co.,69.16B,315.16,0.70%,10.67B
157,CARR,Carrier Global Corporation,69.00B,76.9,-0.05%,24.80B
158,SPG,"Simon Property Group, Inc.",68.99B,183.75,0.16%,5.91B
159,RSG,"Republic Services, Inc.",68.35B,218.28,-0.21%,15.82B
160,DLR,"Digital Realty Trust, Inc.",66.03B,195.28,0.65%,5.37B
161,OKE,"ONEOK, Inc.",65.77B,112.59,-0.76%,19.93B
162,RCL,Royal Caribbean Cruises Ltd.,64.97B,241.62,-1.18%,16.06B
163,BDX,"Becton, Dickinson and Company",64.18B,221.98,-1.01%,20.18B
164,TFC,Truist Financial Corporation,63.39B,47.75,0.10%,14.50B
165,AFL,Aflac Incorporated,63.39B,114.1,0.07%,17.30B
166,FCX,Freeport-McMoRan Inc.,62.88B,43.76,0.64%,25.64B
167,ADSK,"Autodesk, Inc.",62.50B,290.64,-8.59%,5.96B
168,KMI,"Kinder Morgan, Inc.",62.36B,28.07,-0.07%,15.15B
169,NSC,Norfolk Southern Corporation,62.30B,275.38,-0.26%,12.17B
170,CHTR,"Charter Communications, Inc.",62.10B,389.81,-0.12%,54.87B
